title,text,tags,timestamp,id,parent_id,sentiment,toxicity,flags
Testing tag mapping,first test trying to get tag map to work,"['family,', 'war,', 'love']",2025-03-14T17:21:52.790016,83aee15a-27d7-452e-846b-bc65054cb73b,None,None,None,None
test 2 of tag mapping,body body body,"['parents,', 'health,', 'blanket']",2025-03-14T18:20:36.210795,129e6ae3-a0e0-4c7c-8fa0-c8a7d0b36f49,None,None,None,None
Test of tag mapping 3,body text body text,"['family,', 'health,', 'only', 'child']",2025-03-14T18:21:04.167036,df13d19f-2970-43cd-ab78-3587338f83de,None,None,None,None
tag mapping test 4,body of entry,[],2025-03-14T18:24:06.882977,87271be1-694b-45bd-b878-be40ccd92091,None,None,None,None
tag mapp test 5,body text,"['only child', '1999', 'love']",2025-03-14T18:29:25.265676,15e9ddca-e5f5-43f6-9d06-da9c52610f98,None,None,None,None
testing tag popup,bkjskdjfsjdf,['health'],2025-03-14T19:41:47.219428,548dc33b-c117-413b-a38c-346beca44acd,None,None,None,None
testing tag popup,tkjdkjkajdsfkjdskfj,['health'],2025-03-14T19:42:34.327668,1be6678e-453a-46ae-95e5-d0edacdac369,None,None,None,None
testing popup again,jkjfjfjjf,['health'],2025-03-14T19:42:50.973886,5c3e029b-4848-44fa-b0c2-f869a16b623b,None,None,None,None
fdfdf,dfdfff,['health'],2025-03-14T19:42:58.382518,1adf16e4-03ec-4275-bcdf-d8d76b16aaf9,None,None,None,None
fdfd,dfdf,"['ethnicity', 'race', 'other']",2025-03-14T19:43:34.160434,2fb18dbc-0c48-45fb-be49-98d1140d5d0e,None,None,None,None
Asking about medical records,some body text. sjdkf hello world hkshgidh sldkf,"['family', 'medical', 'health', '2002']",2025-03-19T15:21:37.016248,e2aa2275-a1eb-4456-906e-f5d2a40ebc97,None,None,None,None
A letter to my birth parents,"Nulla dictum a erat eget condimentum. Sed sed risus venenatis est accumsan posuere. Phasellus vestibulum eros ligula, ut lobortis neque porttitor eu. Nunc id libero laoreet, hendrerit tellus vitae, mollis tortor. Donec sit amet euismod nisl. Maecenas consequat diam dictum velit scelerisque, id accumsan turpis aliquam. In eu laoreet felis. Curabitur semper tellus non purus malesuada tincidunt. Integer dolor sapien, aliquam a mi eget, dictum congue nisi. Integer imperdiet eget turpis a vehicula.","['abandonment', 'grief']",2025-03-19T15:29:18.289217,e005c0f6-cd73-446c-9583-1215d50ceade,None,None,None,None
Re: A letter to my birth parents,"I haven't thought about this before, but it makes me","['foster family', 'siblings', 'Guangzhou']",2025-03-19T15:30:28.555289,2e691b2d-66d2-48ef-a36b-23838c64423e,e005c0f6-cd73-446c-9583-1215d50ceade,None,None,None
3rd chinese adoptee symposium reflections,"3rd Chinese Adoptee Symposium: 落叶归根 [Falling Leaves Return to Their Roots]  I often try to intellectualize my adoptee experience, something I’ve learned only in the last 48 hours is a way of coping with the things that hurt us most.  It’s true—I write, I read, I code, I create, and I research about adoption and about China to try to make sense of it all. I have this fantasy that one day I’ll have published hundreds of peer-reviewed journals, been featured in renowned exhibitions, and produced the most groundbreaking research for all my family, friends, colleagues, enemies, and past lovers to see, and that when that day comes, they will finally know me, understand me, see me, and I will be happy. But perhaps deep down I chase this fantasy to cope with what I am too afraid to feel.  Sometimes, no amount of thinking can mend the pain, suffering, and heartbreak that being an adoptee is. It doesn’t explain why I find myself praying to every god I know, begging for a reshuffling of the cards I’ve been dealt. It doesn’t explain how adoption makes me feel simultaneously confused, grounded, stupid, smart, ugly, beautiful, ashamed, and proud all at once. I thought I knew what would make me happy—what would heal me—but actually, I don’t have the slightest idea.  At this year’s symposium, I asked myself to feel all of these things, without reaching into my back pocket of APA citations for help. I sobbed, I laughed, I told stories. I cut peppers into quarters. I allowed myself to have fun, and I allowed myself to grieve. I felt the comfort of reconnecting with old friends and the joy of making new ones. I got angry at the world for tearing us apart and then thanked it for bringing us together.  Like 落叶归根 suggests, I let myself fall and flow with the wind. I let myself hit the ground. I let myself wither and seep into the soil. For once, I stop fighting and let gravity take over. I rest.",[],2025-05-30T13:54:37.395077,0ccdd308-7b34-429f-9cc5-db7f238d8248,None,POSITIVE,toxic,None
testing keywords,this site is ass,[],2025-05-30T17:18:06.668200,e0971d9a-bbf6-48e3-9c24-1857b1839a8d,None,NEGATIVE,toxic,[]
testing keywords 2,this site is ass,[],2025-05-31T21:54:32.099399,b286bbeb-4d63-49f9-99f0-9270093149cd,None,NEGATIVE,toxic,[]
testing keywords 2,this site is ass,[],2025-05-31T21:54:39.454006,94b12491-de94-438b-9170-76918127cc2f,None,NEGATIVE,toxic,[]
testing keywords 2,this site is ass,[],2025-05-31T21:56:45.611436,b5147f2b-591c-42df-8e09-ff959d0c45c8,None,NEGATIVE,toxic,[]
Re: testing keywords 2,fuck fuck ass,[],2025-05-31T21:58:05.961136,c7fbe7b8-47ef-47a2-89e6-ddbf8c7a7018,b5147f2b-591c-42df-8e09-ff959d0c45c8,NEGATIVE,toxic,[]
moderation test,fuck fuck ass i dont like this,[],2025-05-31T23:04:49.178251,33028c48-4e3b-442a-8fd5-7e3890a48e78,None,NEGATIVE,toxic,[]
moderation test,fuck fuck ass i dont like this,[],2025-05-31T23:05:18.051895,d3044973-fc6f-4e45-897e-967bdd0f5e99,None,NEGATIVE,toxic,[]
moderation test,fuck fuck ass i dont like this,[],2025-05-31T23:05:34.775235,1e949943-8c59-4a22-8f40-c0c0261a2af9,None,NEGATIVE,toxic,[]
test,ass,[],2025-05-31T23:09:47.567276,c5de8d47-ff36-492a-ba8d-b69b23e4a46b,None,NEGATIVE,toxic,[]
test,ass fetish,[],2025-05-31T23:14:57.701341,33a23779-9349-4700-834f-1a456c59bd3f,None,NEGATIVE,toxic,[]
jhgkhj,ass,[],2025-05-31T23:16:26.712733,37f685dc-be27-43a8-b852-86ca811431c2,None,NEGATIVE,toxic,[]
adslkfjdsf,blah blah ass some bad words fuck,[],2025-05-31T23:32:38.669612,d5ba30b2-4ab7-45af-ada1-a4a03c5acf82,None,NEGATIVE,toxic,['ass']
adslkfjdsf,blah blah ass some bad words fuck,[],2025-05-31T23:35:07.361932,a1395199-a94a-45bc-b33c-b90036528253,None,NEGATIVE,toxic,['ass']
adslkfjdsf,blah blah ass some bad words fuck,[],2025-05-31T23:38:13.663963,5293d6cf-33f2-414c-a427-014b336bd1ba,None,NEGATIVE,toxic,['ass']
aadsfdsf,fuck fucking ass,[],2025-05-31T23:39:01.446064,4b097656-ce26-42b8-92a4-52a5c0df69ed,None,NEGATIVE,toxic,"['ass', 'fucking', 'fuck']"
testing moderation again,hello fuck this site,[],2025-05-31T23:41:08.268558,93c796a4-5629-47ad-b868-86d27b942f65,None,NEGATIVE,toxic,['fuck']
testing modertaaiondf d,bad words fuck ass,[],2025-05-31T23:44:43.473132,4f65aa69-83ba-429c-b343-5b5e8025dc43,None,NEGATIVE,toxic,"['ass', 'fuck']"
chinese adoptee symposium reflection,"3rd Chinese Adoptee Symposium: 落叶归根 [Falling Leaves Return to Their Roots] I often try to intellectualize my adoptee experience, something I’ve learned only in the last 48 hours is a way of coping with the things that hurt us most. It’s true—I write, I read, I code, I create, and I research about adoption and about China to try to make sense of it all. I have this fantasy that one day I’ll have published hundreds of peer-reviewed journals, been featured in renowned exhibitions, and produced the most groundbreaking research for all my family, friends, colleagues, enemies, and past lovers to see, and that when that day comes, they will finally know me, understand me, see me, and I will be happy. But perhaps deep down I chase this fantasy to cope with what I am too afraid to feel. Sometimes, no amount of thinking can mend the pain, suffering, and heartbreak that being an adoptee is. It doesn’t explain why I find myself praying to every god I know, begging for a reshuffling of the cards I’ve been dealt. It doesn’t explain how adoption makes me feel simultaneously confused, grounded, stupid, smart, ugly, beautiful, ashamed, and proud all at once. I thought I knew what would make me happy—what would heal me—but actually, I don’t have the slightest idea. At this year’s symposium, I asked myself to feel all of these things, without reaching into my back pocket of APA citations for help. I sobbed, I laughed, I told stories. I cut peppers into quarters. I allowed myself to have fun, and I allowed myself to grieve. I felt the comfort of reconnecting with old friends and the joy of making new ones. I got angry at the world for tearing us apart and then thanked it for bringing us together. Like 落叶归根 suggests, I let myself fall and flow with the wind. I let myself hit the ground. I let myself wither and seep into the soil. For once, I stop fighting and let gravity take over. I rest.",[],2025-05-31T23:45:24.477726,e79eaf2f-da73-473d-b6fa-79051b22dab9,None,POSITIVE,toxic,[]
